Long,Lat,texture_class,clay_content,bulk_density,aluminium_extractable,carbon_total,calcium_extractable,cation_exchange_capacity,iron_extractable,potassium_extractable,magnesium_extractable,nitrogen_total,carbon_organic,phosphorous_extractable,sulphur_extractable,zinc_extractable,pH,sand_content,silt_content,stone_content
4.65993,7.57043,Sandy Clay Loam,23,1.3,39.4,32.1,364,6.4,80.5,53.6,98.5,1.6,11.2,8,5.7,3.5,5.6,58,12,1.7
5.540806,7.002642,Sandy Loam,18,1.27,98.5,29,329.3,7.2,89,72.7,89,1.9,10,7.2,6.4,2.3,5.7,62,14,1.7
5.540806,7.002642,Sandy Loam,18,1.27,98.5,29,329.3,7.2,89,72.7,89,1.9,10,7.2,6.4,2.3,5.7,62,14,1.7
5.570354,6.995318,Sandy Loam,16,1.33,89,26.1,269.4,8,72.7,72.7,89,1.9,10,7.2,5.7,2.7,5.6,63,15,2
5.570354,6.995318,Sandy Loam,16,1.33,89,26.1,269.4,8,72.7,72.7,89,1.9,10,7.2,5.7,2.7,5.6,63,15,2
5.601165,6.988752,Sandy Loam,18,1.35,80.5,29,297.9,9,80.5,72.7,98.5,1.5,10,6.4,5.7,2.7,5.7,64,14,2.3
5.601165,6.988752,Sandy Loam,18,1.35,80.5,29,297.9,9,80.5,72.7,98.5,1.5,10,6.4,5.7,2.7,5.7,64,14,2.3
5.529189,6.97865,Sandy Loam,18,1.33,72.7,23.5,364,9,72.7,59.3,108.9,1.9,10,7.2,6.4,2.7,5.7,61,16,1.7
5.529189,6.97865,Sandy Loam,18,1.33,72.7,23.5,364,9,72.7,59.3,108.9,1.9,10,7.2,6.4,2.7,5.7,61,16,1.7
5.56101,6.972589,Sandy Clay Loam,21,1.3,98.5,32.1,444.9,9,80.5,72.7,89,1.7,11.2,8,7.2,2.7,5.4,51,14,2.3
5.56101,6.972589,Sandy Clay Loam,21,1.3,98.5,32.1,444.9,9,80.5,72.7,89,1.7,11.2,8,7.2,2.7,5.4,51,14,2.3
5.593336,6.965265,Sandy Loam,19,1.32,53.6,29,329.3,8,89,72.7,98.5,1.7,10,6.4,5.7,2.3,5.6,60,16,2
5.593336,6.965265,Sandy Loam,19,1.32,53.6,29,329.3,8,89,72.7,98.5,1.7,10,6.4,5.7,2.3,5.6,60,16,2
5.528432,6.952133,Sandy Clay Loam,20,1.34,98.5,26.1,444.9,9,80.5,65.7,98.5,1.6,9,8,6.4,2.3,5.7,62,16,1.2
5.528432,6.952133,Sandy Clay Loam,20,1.34,98.5,26.1,444.9,9,80.5,65.7,98.5,1.6,9,8,6.4,2.3,5.7,62,16,1.2
5.547878,6.942789,Sandy Loam,18,1.33,72.7,26.1,364,9,80.5,72.7,108.9,1.5,11.2,7.2,6.4,2.3,5.6,59,15,1.7
5.547878,6.942789,Sandy Loam,18,1.33,72.7,26.1,364,9,80.5,72.7,108.9,1.5,11.2,7.2,6.4,2.3,5.6,59,15,1.7
5.568839,6.937233,Sandy Loam,19,1.31,65.7,29,297.9,9,72.7,65.7,98.5,1.9,11.2,9,7.2,2.7,5.5,58,16,2.3
5.568839,6.937233,Sandy Loam,19,1.31,65.7,29,297.9,9,72.7,65.7,98.5,1.9,11.2,9,7.2,2.7,5.5,58,16,2.3
5.589548,6.931172,Sandy Loam,17,1.28,72.7,29,364,9,80.5,65.7,89,1.6,11.2,7.2,7.2,3.1,5.5,60,15,1.7
5.589548,6.931172,Sandy Loam,17,1.28,72.7,29,364,9,80.5,65.7,89,1.6,11.2,7.2,7.2,3.1,5.5,60,15,1.7
4.83971,6.72683,Sandy Loam,19,1.35,180.3,29,364,9,108.9,72.7,98.5,1.4,12.5,7.2,6.4,3.5,5.4,62,14,1.2
4.83971,6.72683,Sandy Loam,19,1.35,180.3,29,364,9,108.9,72.7,98.5,1.4,12.5,7.2,6.4,3.5,5.4,62,14,1.2
4.76275,6.71128,Sandy Loam,17,1.35,243.7,26.1,444.9,8,133.3,72.7,80.5,1.6,13.9,7.2,8,4,5.5,69,12,1.7
4.76275,6.71128,Sandy Loam,17,1.35,243.7,26.1,444.9,8,133.3,72.7,80.5,1.6,13.9,7.2,8,4,5.5,69,12,1.7
4.77781,6.67563,Sandy Loam,17,1.33,199.3,32.1,491.7,9,120.5,72.7,98.5,1.6,12.5,7.2,7.2,4,5.5,63,14,1.7
4.77781,6.67563,Sandy Loam,17,1.33,199.3,32.1,491.7,9,120.5,72.7,98.5,1.6,12.5,7.2,7.2,4,5.5,63,14,1.7
4.74366,6.671454,Sandy Loam,19,1.28,220.4,29,297.9,7.2,120.5,80.5,80.5,1.6,12.5,9,10,3.5,5.1,62,13,2.3
4.74366,6.671454,Sandy Loam,19,1.28,220.4,29,297.9,7.2,120.5,80.5,80.5,1.6,12.5,9,10,3.5,5.1,62,13,2.3
3.804444444,6.676666667,Sandy Clay Loam,23,1.23,199.3,43.7,329.3,10,80.5,72.7,89,1.2,11.2,7.2,7.2,3.1,5.2,49,14,0.6
3.805833333,6.676666667,Sandy Clay Loam,29,1.22,180.3,29,402.4,11.2,72.7,72.7,98.5,1.3,10,6.4,7.2,3.1,5.4,51,16,0.6
3.805277778,6.676666667,Sandy Clay Loam,24,1.2,199.3,35.6,364,9,80.5,65.7,89,1.3,11.2,5.7,7.2,2.7,5.4,52,15,0.8
3.805555556,6.676666667,Sandy Clay Loam,25,1.19,199.3,32.1,402.4,9,80.5,65.7,89,1.5,10,6.4,7.2,3.1,5.4,54,15,0.8
3.804722222,6.676666667,Sandy Loam,18,1.22,199.3,39.4,364,10,80.5,72.7,80.5,1.4,11.2,6.4,7.2,3.5,5.2,53,15,0.6
3.6678,7.5662,Sandy Loam,14,1.34,98.5,19.1,543.6,6.4,65.7,72.7,147.4,0.9,8,7.2,5.7,2,6.1,68,15,2.7
3.6657,7.5657,Sandy Loam,13,1.32,89,19.1,664.1,6.4,65.7,72.7,133.3,1,9,7.2,5.7,2.3,6.2,67,14,2.7
3.6663,7.5652,Sandy Loam,14,1.34,98.5,17.2,543.6,6.4,65.7,80.5,133.3,0.8,8,7.2,5.7,2.3,6.1,69,13,3.1
3.6678,7.5652,Sandy Loam,14,1.32,89,19.1,543.6,6.4,65.7,72.7,133.3,0.8,8,7.2,5.7,2.3,6.1,67,13,3.5
3.6647,7.5647,Sandy Loam,13,1.31,98.5,15.4,600.8,6.4,65.7,72.7,147.4,0.9,9,7.2,5.7,2.3,6,65,14,3.1
3.6657,7.5642,Sandy Loam,14,1.33,98.5,19.1,600.8,7.2,65.7,80.5,133.3,1.1,9,7.2,6.4,2.7,6.1,66,13,3.1
3.6668,7.5642,Sandy Loam,13,1.33,98.5,19.1,543.6,6.4,65.7,80.5,133.3,0.8,8,7.2,5.7,2.3,6.1,67,13,3.1
3.6673,7.5605,Sandy Loam,14,1.3,89,21.2,664.1,7.2,65.7,72.7,147.4,1.2,9,8,6.4,2.3,6.1,69,15,2.7
3.6678,7.5594,Sandy Loam,17,1.32,89,19.1,600.8,6.4,65.7,80.5,133.3,0.9,8,7.2,5.7,2,6.1,65,15,3.1
5.03975,7.17249,Sandy Loam,18,1.33,53.6,35.6,402.4,6.4,80.5,65.7,98.5,1.4,11.2,7.2,6.4,2.7,5.7,64,15,2.3
5.04061,7.17066,Sandy Loam,20,1.29,48.4,32.1,402.4,6.4,72.7,65.7,98.5,1.4,11.2,7.2,6.4,2.7,5.6,66,15,1.7
5.04061,7.17066,Sandy Loam,20,1.29,48.4,32.1,402.4,6.4,72.7,65.7,98.5,1.4,11.2,7.2,6.4,2.7,5.6,66,15,1.7
5.10178,7.13348,Sandy Clay Loam,24,1.29,98.5,23.5,297.9,10,72.7,65.7,108.9,1.4,10,8,7.2,2.7,5.5,58,14,2
5.10178,7.13348,Sandy Clay Loam,24,1.29,98.5,23.5,297.9,10,72.7,65.7,108.9,1.4,10,8,7.2,2.7,5.5,58,14,2
5.18763,7.09644,Sandy Clay Loam,22,1.28,59.3,35.6,329.3,7.2,80.5,53.6,89,1.6,11.2,6.4,5.7,2.7,5.3,64,14,1.7
5.18763,7.09644,Sandy Clay Loam,22,1.28,59.3,35.6,329.3,7.2,80.5,53.6,89,1.6,11.2,6.4,5.7,2.7,5.3,64,14,1.7
5.10169,7.13346,Sandy Clay Loam,24,1.29,98.5,23.5,297.9,10,72.7,65.7,108.9,1.4,10,8,7.2,2.7,5.5,58,14,2
5.07403,7.15801,Sandy Clay Loam,21,1.27,72.7,23.5,329.3,8,80.5,53.6,98.5,1.6,11.2,7.2,6.4,3.1,5.7,61,15,1.7
5.07403,7.15801,Sandy Clay Loam,21,1.27,72.7,23.5,329.3,8,80.5,53.6,98.5,1.6,11.2,7.2,6.4,3.1,5.7,61,15,1.7
5.18763,7.09644,Sandy Clay Loam,22,1.28,59.3,35.6,329.3,7.2,80.5,53.6,89,1.6,11.2,6.4,5.7,2.7,5.3,64,14,1.7
5.18763,7.09644,Sandy Clay Loam,22,1.28,59.3,35.6,329.3,7.2,80.5,53.6,89,1.6,11.2,6.4,5.7,2.7,5.3,64,14,1.7
5.18985,7.09727,Sandy Clay Loam,24,1.3,53.6,35.6,329.3,7.2,98.5,59.3,98.5,1.6,10,7.2,7.2,3.1,5.4,62,13,1.7
4.120316667,7.477916667,Sandy Loam,16,1.31,48.4,29,543.6,8,89,65.7,108.9,1.3,10,8,5.7,2.7,5.9,54,14,1.5
4.120316667,7.477916667,Sandy Loam,16,1.31,48.4,29,543.6,8,89,65.7,108.9,1.3,10,8,5.7,2.7,5.9,54,14,1.5
4.12035,7.478366667,Sandy Loam,17,1.33,48.4,32.1,600.8,8,89,65.7,108.9,1.5,10,7.2,5.7,2.3,6,55,14,2.3
4.12035,7.478366667,Sandy Loam,17,1.33,48.4,32.1,600.8,8,89,65.7,108.9,1.5,10,7.2,5.7,2.3,6,55,14,2.3
4.12045,8.169233333,Sandy Loam,12,1.26,133.3,11.2,444.9,4.5,59.3,72.7,98.5,0.7,6.4,7.2,5,2.7,6.1,74,14,5
4.12045,8.169233333,Sandy Loam,12,1.26,133.3,11.2,444.9,4.5,59.3,72.7,98.5,0.7,6.4,7.2,5,2.7,6.1,74,14,5
