sN,State,Lat,Long,Depth,sand_content,silt_content,clay_content,pH,carbon_organic,nitrogen_total,phosphorous_extractable,calcium_extractable,potassium_extractable
OD299,Ondo,7.17092,5.55623,1,73.448,10.488,16.064,5.8,3.63,0.398,29.39,12.2234272,0.2753767
OD300,Ondo,7.17092,5.63996,1,75.448,10.488,14.064,5.6,1.915,0.237,36.05,13.0314032,0.0183617
OD301,Ondo,7.17092,5.70304,1,79.448,6.488,14.064,6.2,0.399,0.091,27.15,8.0789856,0.0324662
OD302,Ondo,7.17869,5.81216,1,73.448,10.488,16.064,8.3,1.316,0.219,29.81,18.8963584,0.1157498
OD303,Ondo,7.18125,5.05087,1,69.448,12.488,18.064,7.1,1.476,0.129,27.33,11.1968224,0.1018692
OD304,Ondo,7.18789,4.98485,1,77.448,12.488,10.064,6,1.516,0.384,28.85,9.3717472,0.0128393
OD305,Ondo,7.22232,5.15527,1,69.448,14.488,16.064,6.2,0.518,0.143,30.9,8.2500864,0.1226901
OD306,Ondo,7.25129,5.89054,1,83.448,0.488,16.064,7,1.755,0.218,24.97,15.5693984,0.0114214
OD307,Ondo,7.29696,5.7237,1,53.448,14.488,32.064,5.9,0.359,0.179,30,12.2329328,0.0810483
OD308,Ondo,7.30765,5.31167,1,75.448,8.488,16.064,7,1.715,0.316,30.6,17.9648096,0.0108244
OD309,Ondo,7.30839,5.87936,1,87.448,0.488,12.064,5.1,2.633,0.286,30.84,10.9496768,0.3308991
OD310,Ondo,7.34726,4.95683,1,69.448,14.488,16.064,6.2,0.957,0.139,32.3,6.1873712,0.0128393
OD311,Ondo,7.32323,4.83924,1,53.448,12.488,34.064,5.2,0.399,0.243,29.63,9.1911408,0.0119437
OD312,Ondo,7.32522,5.059,1,77.448,8.488,14.064,6,1.117,0.127,28.6,8.0789856,0.0161229
OD313,Ondo,7.36105,5.23239,1,69.72,17.352,12.928,6.1,0.598,0.216,31.21,9.5713648,0.2476155
OD314,Ondo,7.33569,5.55623,1,77.72,13.064,9.216,6.5,0.638,0.184,29.75,8.0884912,0.0810483
OD315,Ondo,7.33569,5.80743,1,65.72,21.352,12.928,6.3,1.396,0.188,29.63,8.6303104,0.0324662
OD316,Ondo,7.34213,4.89222,1,79.504,11.496,9,7.2,1.396,0.223,28.24,13.0884368,0.0138841
OD317,Ondo,7.34713,5.12727,1,65.36,15.712,18.928,7.6,2.478,0.332,31.33,15.3222528,0.2684364
OD318,Ondo,7.37642,5.66734,1,86.432,2.568,11,7.4,2.194,0.123,26.61,13.0884368,0.0116453
OD319,Ondo,7.36315,5.89206,1,77.504,9.568,12.928,6,1.715,0.147,31.39,6.1493488,0.2059737
OD320,Ondo,7.40258,5.13461,1,57.504,23.496,19,6.9,1.735,0.293,29.27,17.9267872,0.0144811
OD321,Ondo,7.41291,5.23605,1,69.144,13.856,17,7.4,1.157,0.116,27.45,10.6454976,0.0532871
OD322,Ondo,7.41573,5.6967,1,75.144,13.64,11.216,7.1,1.596,0.237,30.9,10.113184,0.4350036
OD323,Ondo,7.40713,5.29875,1,63.288,17.496,19.216,7.5,2.793,0.124,29.27,19.143504,0.0189587
OD324,Ondo,7.42914,5.05899,1,73.576,13.208,13.216,6.9,2.034,0.21,29.27,12.774752,0.1088095
OD325,Ondo,7.43659,5.83104,1,65.216,19.352,15.432,6.9,1.276,0.183,27.7,12.9933808,0.0150781
OD326,Ondo,7.46503,5.67283,1,89.216,1.28,9.504,6.8,0.718,0.199,25.76,7.4801328,0.1573916
OD327,Ondo,7.49342,5.92168,1,77.216,9.28,13.504,6.4,1.596,0.177,27.21,10.5219248,0.2753767
OD328,Ondo,7.52385,5.93413,1,85.144,3.352,11.504,7.3,0.478,0.326,27.39,10.5694528,0.0949289
OD329,Ondo,7.58284,5.63996,1,82.144,1.752,16.104,7,1.197,0.15,26.18,12.5276064,0.1365707
OD330,Ondo,7.56077,5.75273,1,65.288,19.208,15.504,6.3,1.635,0.23,31.09,12.1949104,0.0120184
OD331,Ondo,7.58284,5.89116,1,70.784,15.56,13.656,5.4,1.197,0.252,31.93,8.8394336,0.1296304
OD332,Ondo,7.59872,5.77316,1,73.072,12.2,14.728,6.2,0.798,0.2,28.3,10.8926432,0.0810483
OD333,Ondo,7.67357,5.93344,1,72.712,14.776,12.512,5.9,0.478,0.213,29.15,7.6512336,0.1018692
OD334,Ondo,7.64744,5.73155,1,82.856,2.2,14.944,6,2.516,0.289,28.66,8.4116816,0.0463468
OD335,Ondo,7.66982,5.79364,1,76.496,4.488,19.016,6.8,0.758,0.263,31.27,7.4706272,0.1851528
Oy1,Oyo,7.78116,3.992715,1,79.58,9.5,10.92,6.76,0.32,0.03,18.6,2.52,0.18
Oy2,Oyo,7.692339,3.953348,1,79.83,8.29,11.88,6.84,0.33,0.04,19.05,2.24,0.18
Oy3,Oyo,7.670497,3.913998,1,80.43,9,10.57,6.73,0.75,0.07,25.73,3.35,0.3
Oy4,Oyo,7.643673,3.943296,1,70.37,14.45,15.18,6.62,0.85,0.08,30.07,4.05,0.34
Oy5,Oyo,7.737977,3.832933,1,83.22,7,9.78,6.93,0.2,0.02,17.77,2.09,0.18
