sN,Lat,Long,sand_content,silt_content,clay_content,pH,carbon_organic,nitrogen_total,phosphorous_extractable,calcium_extractable,magnesium_extractable,potassium_extractable,Na,cation_exchange_capacity
21,7.66025,3.62196,89.2,5.4,5.4,5.72,0.47,0.05,7.57,3.01,0.69,0.04,0.24,4.1
22,7.66115,3.62649,90.2,6.4,3.4,6.42,0.51,0.03,6.46,2.45,0.49,0.04,0.15,3.21
23,7.66206,3.62196,93.2,1.4,5.4,6.64,0.13,0.03,5.97,2.68,0.69,0.05,0.25,3.73
24,7.66206,3.62377,84.2,9.4,6.4,7.05,0.28,0.01,5.91,1.39,0.29,0.05,0.2,1.97
25,7.66296,3.62468,89.2,5.4,5.4,6.56,0.31,0.05,3.32,1.7,0.63,0.04,0.15,2.58
26,7.66387,3.62559,93.2,1.4,5.4,6,0.31,0.01,2.75,2.46,0.73,0.06,0.17,3.52
27,7.66386,3.6274,91.2,3.4,5.4,5.65,0.31,0.06,0.98,1.56,0.59,0.06,0.12,2.42
28,7.66478,3.62015,93.2,1.4,5.4,6.58,0.63,0.04,2.18,2.42,0.8,0.11,0.13,3.53
29,7.66477,3.62287,93.2,1.4,5.4,7.07,0.29,0.01,3.32,1.7,0.76,0.07,0.12,2.7
30,7.66477,3.62468,93.2,1.4,5.4,5.59,0.22,0.032,0.57,1.4,0.64,0.04,0.09,2.29
31,7.66477,3.6265,89.2,5.4,5.4,5.94,0.12,0.021,3.99,1.03,0.56,0.08,0.09,1.86
32,7.66568,3.61924,89.2,5.4,5.4,6.7,0.69,0.084,14.04,4.33,0.87,0.1,0.12,5.48
33,7.66568,3.62196,77.2,15.4,7.4,7.27,1.24,0.091,13.26,6.87,1.27,0.13,0.1,8.41
34,7.66567,3.63012,89.2,5.4,5.4,7.04,0.38,0.023,2.59,2.14,0.61,0.05,0.12,2.97
35,7.66658,3.62468,89.2,5.4,5.4,6.65,0.68,0.074,7.82,3.29,1.09,0.08,0.13,4.66
36,7.66657,3.63284,85.2,9.4,5.4,7.04,0.92,0.076,24.09,4.39,0.8,0.18,0.17,5.6
37,7.66749,3.61925,73.2,15.4,11.4,7.17,0.37,0.013,3.42,2.18,0.59,0.19,0.23,3.23
38,7.66749,3.62197,77.2,15.4,7.4,7.23,0.85,0.064,22.95,3.93,0.98,0.49,0.33,5.77
39,7.66748,3.63103,74.6,16.6,8.8,7.78,0.63,0.073,12.79,3.21,0.96,0.19,0.18,4.57
40,7.66747,3.63738,90.6,4.6,4.8,6.74,0.72,0.058,18.65,3.06,0.95,0.13,0.2,4.41
41,7.66839,3.62287,82.6,12.6,4.8,7.49,0.79,0.084,12.07,3.52,0.87,0.36,0.25,5.05
42,7.66838,3.63194,88.6,6.6,4.8,6.65,0.42,0.029,8.24,2.28,0.71,0.14,0.17,3.37
43,7.66837,3.63557,66.6,18.6,14.8,6.88,1.14,0.087,25.54,3.59,1.02,0.34,0.23,5.24
44,7.6693,3.62378,58.6,14.6,22.8,6.96,1.41,0.117,28.59,5.16,1.22,0.32,0.26,7.01
45,7.66928,3.63738,54.6,16.6,28.8,6.86,1.5,0.127,12.33,6.88,1.51,0.26,0.23,8.95
46,7.67021,3.61925,74.6,16.6,8.8,7.52,0.86,0.075,17.56,3.38,0.89,0.23,0.24,4.77
47,7.67019,3.62922,86.6,8.6,4.8,7.26,1.07,0.089,47.71,4.41,1.15,0.36,0.23,6.2
48,7.67019,3.63104,88.6,6.6,4.8,6.65,1.09,0.079,19.58,3.54,0.88,0.19,0.13,4.81
49,7.67019,3.63285,83.8,10.8,5.4,7.18,0.81,0.066,8.5,4.38,1.07,0.2,0.15,5.85
50,7.67018,3.63466,75.8,18.8,5.4,6.8,2.18,0.138,48.17,6.3,1.64,0.43,0.34,8.77
51,7.67018,3.63648,91.8,2.8,5.4,6.78,0.88,0.111,3.99,3.45,0.96,0.19,0.24,4.92
52,7.67111,3.62016,83.8,10,5.4,7.04,0.92,0.079,6.04,3.81,0.97,0.23,0.24,5.31
53,7.6711,3.62469,89.8,4.8,5.4,6.91,0.9,0.067,16.32,3.49,0.87,0.2,0.28,4.9
54,7.67201,3.62107,91.8,2.8,5.4,6.73,0.64,0.053,10.23,2.77,0.88,0.13,0.28,4.14
55,7.672,3.63195,83.8,10.8,5.4,6.95,1.26,0.091,6.25,2.48,1.85,0.13,0.25,4.78
56,7.67199,3.63557,81.8,8.8,9.4,7.13,1.74,0.144,21.25,3.53,1.57,0.16,0.26,5.57
57,7.67293,3.61563,89.8,4.8,5.4,6.88,0.66,0.047,2.49,7.08,1.36,0.14,0.24,8.87
58,7.67292,3.61744,87.8,6.8,5.4,6.63,0.97,0.121,11.82,3.14,1.53,0.16,0.23,5.13
59,7.67292,3.61925,93.8,0.8,5.4,6.65,0.56,0.041,9.22,3.44,1.08,0.06,0.2,4.86
60,7.67291,3.62288,85.8,8.8,5.4,6.95,1.54,0.099,11.4,3.51,1.33,0.22,0.26,5.37
61,7.6729,3.63467,85.8,8.8,5.4,7.08,1.35,0.112,18.97,2.91,1.27,0.21,0.2,4.64
62,7.67473,3.62107,91.8,2.8,5.4,6.15,0.74,0.086,5.41,3.37,0.93,0.1,0.15,4.64
63,7.67472,3.6247,83.8,9.4,6.8,6.68,1.14,0.128,13.94,3.98,1.71,0.2,0.2,6.16
64,7.67471,3.63286,87.8,7.4,4.8,7.04,0.97,0.108,9.22,2.66,1.1,0.1,0.17,4.08
65,7.67471,3.63558,89.8,5.4,4.8,6.72,0.33,0.065,11.82,2.79,0.79,0.05,0.15,3.85
66,7.67563,3.62198,91.8,3.4,4.8,7.04,1.56,0.142,18.5,5.47,1.06,0.23,0.21,7.02
67,7.67562,3.62651,85.8,9.4,4.8,6.66,0.46,0.056,4.35,3.51,0.89,0.06,0.12,4.65
68,7.67562,3.62832,79.8,15.4,4.8,5.96,0.94,0.072,4.24,3.91,1.24,0.11,0.16,5.53
69,7.67562,3.63104,91.8,3.4,4.8,5.84,0.82,0.065,8.9,1.61,0.71,0.1,0.17,2.7
70,7.67652,3.63377,81.8,13.4,4.8,6.44,1.78,0.148,25.76,1.99,2.02,0.39,0.29,4.79
71,7.67743,3.62742,79.8,15.4,4.8,6.49,1.47,0.129,9.54,4.93,1.86,0.16,0.21,7.23
72,7.67743,3.63105,77.8,17.4,4.8,6.46,1.91,0.133,26.98,5.32,1.81,0.17,0.19,7.55
73,7.67742,3.63467,89.8,5.4,4.8,6.45,0.83,0.077,14.36,4.12,1.32,0.13,0.18,5.83
74,7.67834,3.62289,83.8,11.4,4.8,6.66,1.65,0.147,26.39,5.13,2,0.16,0.2,7.56
75,7.67834,3.62652,81.8,13.4,4.8,6.12,0.84,0.11,5.15,2.91,0.728,0.26,0.72,4.7
76,7.67925,3.6238,83.8,11.4,4.8,6.75,1.38,0.094,41.36,4.86,0.791,0.31,0.243,6.26
77,7.67924,3.62833,79.8,15.4,4.8,6.34,1.66,0.128,12.59,3.8,0.866,0.16,0.18,5.08
78,7.68015,3.62652,87.8,7.4,4.8,6.21,0.59,0.081,1.9,1.94,0.475,0.06,0.126,2.69
79,7.68013,3.63468,89.8,5.4,4.8,5.52,0.76,0.055,1.77,2.07,0.413,0.08,0.126,2.78
80,7.68105,3.62743,91.8,3.4,4.8,5.3,1.03,0.087,4.1,3.44,0.514,0.15,0.153,4.38
81,7.68105,3.62924,91.8,3.4,4.8,5.1,0.71,0.091,1.48,1.4,0.293,0.06,0.243,2.1
82,7.68196,3.62561,85.8,9.4,4.8,6.18,1.8,0.127,3.63,5.58,0.875,0.12,0.189,6.84
83,7.68195,3.63287,89.8,5.4,4.8,6.32,0.77,0.063,0.76,3.43,0.581,0.1,0.135,4.32
84,7.68285,3.63015,85.8,9.4,4.8,6.21,0.72,0.059,1.1,2.57,0.562,0.1,0.144,3.48
85,7.68376,3.62652,71.8,21.4,6.8,6.73,0.86,0.118,4.69,2.71,0.673,0.1,0.126,3.69
86,7.68376,3.62834,79.4,14.4,6.2,6.53,1.1,0.106,8.03,3.32,1.13,0.065,0.234,4.84
87,7.68466,3.63106,89.6,4.8,5.6,6.22,1.02,0.085,3.19,2.98,1.08,0.09,0.15,4.37
88,7.68557,3.62925,90.6,4.8,4.6,6.39,0.98,0.121,3.99,2.74,1.61,0.08,0.13,4.62
89,7.67342,3.61411,88.6,5.8,5.6,6.03,1.22,0.094,5.76,3.63,1.02,0.13,0.15,5
90,7.67429,3.61676,85.6,7.8,6.6,6.55,1.09,0.132,4.94,3.91,1.86,0.11,0.14,6.08
91,7.659,3.62024,87.6,6.8,5.6,6.35,0.89,0.099,8.63,2.54,0.87,0.11,0.18,3.78
92,7.65602,3.62232,92.6,3.8,3.6,6.89,1.03,0.081,7.71,3.99,1.07,0.08,0.1,5.29
93,7.66393,3.62193,89.8,5.4,4.8,6.45,1.76,0.134,10.72,4.38,1.69,0.15,0.17,6.45
